Frame size;STD;FAST;MKL;GSL
16  ;31,80; 99,12; 29,80;41,39
32  ;30,05;134,94; 53,72;46,76
64  ;30,78;165,92; 93,80;52,79
128 ;31,24;188,06;148,31;54,77
256 ;31,41;199,14;204,53;55,38
512 ;31,52;199,43;267,74;55,49
1024;31,79;199,71;331,71;56,15
2048;31,61;200,16;342,06;56,32
4096;31,88;198,88;343,40;57,42
8192;30,43;195,78;342,59;56,92
