Frame size;STD;FAST;MKL;GSL
16;31,8;99,12;29,8;11,76
32;30,05;134,94;53,72;12,34
64;30,78;165,92;93,8;12,86
128;31,24;188,06;148,31;12,96
256;31,41;199,14;204,53;12,87
512;31,52;199,43;267,74;13,2
1024;31,79;199,71;331,71;12,94
2048;31,61;200,16;342,06;12,89
4096;31,88;198,88;343,4;12,62
8192;30,43;195,78;342,59;13,01
